Position,Const,Created,Modified,Description,Name,Known For,Birth Date
555,nm0001570,2021-09-11,2021-09-11,739 points,Edward Norton,Motherless Brooklyn,1969-08-18
556,nm0688636,2018-07-12,2018-07-12,738 points,Laura Poitras,Citizenfour,1964-02-02
557,nm0423626,2018-07-12,2018-07-12,738 points,Rowan Joffe,Before I Go to Sleep,
558,nm0847690,2018-07-07,2018-07-07,734 points,Yôjirô Takita,Okuribito,1955-12-04
559,nm0133899,2018-07-04,2018-07-04,730 points,Guillaume Canet,Jeux d'enfants,1973-04-10
560,nm2947553,2019-04-04,2019-04-04,729 üpomts,Na Hong-jin,Chugyeokja,
561,nm0505152,2018-06-25,2018-06-25,724 points,Brian Levant,Still the Beaver,1952-08-06
562,nm0606439,2018-07-08,2018-07-08,718 points,Christopher Morris,Four Lions,1965-09-05
563,nm0009463,2021-05-15,2021-05-15,718 points,Hany Abu-Assad,Omar,1961-10-11
564,nm0230859,2018-07-12,2018-07-12,714 points,Xavier Dolan,J'ai tué ma mère,1989-03-20
565,nm0654868,2018-05-27,2018-05-27,711 points,Yasujirô Ozu,Tôkyô monogatari,1903-12-12
566,nm0564970,2018-05-19,2018-05-19,706 points,Leo McCarey,An Affair to Remember,1896-10-03
567,nm0001124,2018-05-28,2018-05-28,704 points,Cecil B. DeMille,The Ten Commandments,1881-08-12
568,nm0946811,2018-06-02,2018-06-02,703 points,Peter Yates,Krull,1929-07-24
569,nm0337773,2021-09-07,2021-09-07,701 points,David Gordon Green,Halloween,1975-04-09
570,nm0265363,2018-06-17,2018-06-17,700 points,Peter Faiman,Crocodile Dundee,
571,nm0586281,2018-06-29,2018-06-29,695 points,Takashi Miike,Koroshiya 1,1960-08-24
572,nm7546166,2020-11-23,2020-11-23,695 points,Gustav Möller,Den skyldige,
573,nm0382956,2018-06-27,2018-06-27,689 points,Scott Hicks,Shine,1953-03-04
574,nm0000149,2018-07-09,2018-07-09,689 points,Jodie Foster,The Silence of the Lambs,1962-11-19
575,nm0602104,2019-02-05,2019-02-05,683 points,Jocelyn Moorhouse,The Dressmaker,1960-09-04
576,nm0086301,2021-09-13,2021-09-13,683 points,Macon Blair,Blue Ruin,
577,nm2011696,2021-04-23,2021-04-23,676 points,Dee Rees,Mudbound,
578,nm0467396,2018-05-26,2018-05-26,674 points,Henry Koster,Harvey,1905-05-01
579,nm1993322,2018-07-10,2018-07-10,671 points,Timo Vuorensola,Iron Sky,1979-11-29
580,nm1701024,2020-01-25,2020-01-25,670 points,Nadine Labaki,Capharnaüm,1974-02-18
581,nm1906430,2018-07-10,2018-07-10,665 points,Nicholas Jarecki,Arbitrage,
582,nm0593463,2018-07-08,2018-07-08,663 points,John Cameron Mitchell,Hedwig and the Angry Inch,1963-04-21
583,nm1960322,2018-07-09,2018-07-09,663 points,Nick Murphy,The Awakening,
584,nm0802693,2018-06-10,2018-06-10,661 points,Ramesh Sippy,Sholay,1947-01-23
585,nm0315065,2018-07-10,2018-07-10,648 points,Sacha Gervasi,Anvil: The Story of Anvil,
586,nm0001994,2019-04-14,2019-04-14,647 points,Michael Caton-Jones,Memphis Belle,1957-10-15
587,nm0201094,2018-07-12,2018-07-12,646 points,Jean-Pierre Dardenne,"Deux jours, une nuit",1951-04-21
588,nm0201095,2018-07-12,2018-07-12,646 points,Luc Dardenne,"Deux jours, une nuit",1954-03-10
589,nm0398185,2019-12-18,2019-12-18,646 points,Peter Howitt,Sliding Doors,1957-05-05
590,nm0223359,2018-07-01,2018-07-01,645 points,Tom Dey,Shanghai Noon,1965-04-14
591,nm1703612,2018-07-06,2018-07-06,645 points,Joby Harold,Obi-Wan Kenobi,
592,nm0692872,2018-06-07,2018-06-07,638 points,Ted Post,Beneath the Planet of the Apes,1918-03-31
593,nm0031078,2018-07-09,2018-07-09,638 points,Steve Antin,The Goonies,1958-04-19
594,nm0421314,2018-07-03,2018-07-03,634 points,Anders Thomas Jensen,Retfærdighedens ryttere,1972-04-06
595,nm0997291,2018-07-13,2018-07-13,633 points,Justin Kurzel,Snowtown,1974-08-03
596,nm0506802,2018-07-10,2018-07-10,631 points,Ben Lewin,The Sessions,
597,nm1285613,2018-07-09,2018-07-09,631 points,Andrew Jarecki,Capturing the Friedmans,1963-03-24
598,nm0000770,2021-04-16,2021-04-16,630 points,David Anspaugh,Hoosiers,1946-09-24
599,nm0784061,2018-06-24,2018-06-24,629 points,Dominic Sena,Kalifornia,1949-04-26
600,nm0371059,2018-06-13,2018-06-13,629 points,Jamie Uys,The Gods Must Be Crazy,1921-05-30
601,nm0881038,2018-06-23,2018-06-23,626 points,Ron Underwood,Tremors,1953-11-06
602,nm0533284,2019-09-22,2019-09-22,626 points,David Mackenzie,Hell or High Water,1966-05-10
603,nm0496746,2018-05-30,2018-06-11,625 points,J. Lee Thompson,The Guns of Navarone,1914-08-01
604,nm0550881,2018-06-24,2018-06-24,619 points,Frank Marshall,Congo,1946-09-13
605,nm1312919,2018-07-12,2018-07-12,619 points,Yann Demange,'71,
606,nm0886976,2018-07-11,2018-07-11,616 points,Felix van Groeningen,Beautiful Boy,
607,nm0849786,2018-07-01,2018-07-01,611 points,Danis Tanovic,No Man's Land,1969-02-20
608,nm0091076,2021-12-06,2021-12-06,607 points,Sergei Bodrov,Mongol,1948-06-28
609,nm0001676,2018-06-07,2018-06-07,605 points,Nicolas Roeg,Don't Look Now,1928-08-15
610,nm0035462,2018-07-04,2018-07-04,603 points,Neil Armfield,Candy,1955-04-22
611,nm11813828,2021-06-29,2021-06-29,603 points,Pippa Ehrlich,My Octopus Teacher,
612,nm1624755,2021-06-29,2021-06-29,603 points,James Reed,My Octopus Teacher,
613,nm0000774,2018-06-01,2018-06-01,601 points,Michelangelo Antonioni,Blow-Up,1912-09-29
614,nm0750275,2021-07-20,2021-07-20,600 points,Björn Runge,The Wife,1961-06-21
615,nm0771923,2018-07-13,2018-07-13,600 points,Sebastian Schipper,Victoria,1968-05-08
616,nm0115218,2018-05-18,2018-05-18,598 points,Tod Browning,Dracula,1880-07-12
617,nm3734458,2021-05-21,2021-05-21,598 points,Rupert Goold,Judy,
618,nm0001252,2018-06-28,2018-06-28,593 points,Vincent Gallo,Buffalo '66,1961-04-11
619,nm0453518,2018-07-02,2018-07-02,589 points,Jee-woon Kim,Joheunnom nabbeunnom isanghannom,1964-05-27
620,nm0578483,2018-06-01,2018-06-01,588 points,Jean-Pierre Melville,À bout de souffle,1917-10-20
621,nm3592235,2018-07-11,2018-07-11,588 points,Ritesh Batra,The Lunchbox,1979-06-12
622,nm0188165,2018-07-01,2018-07-01,586 points,Michael Cristofer,Original Sin,1945-01-22
623,nm0000110,2018-06-24,2018-06-24,584 points,Kenneth Branagh,Henry V,1960-12-10
624,nm1443023,2020-10-21,2020-10-21,584 points,Nacho Vigalondo,Los cronocrímenes,
625,nm0002160,2018-06-11,2018-06-11,583 points,Moustapha Akkad,The Message,1930-07-01
626,nm0000362,2018-06-22,2018-06-22,583 points,Danny DeVito,Matilda,1944-11-17
627,nm0797455,2018-07-08,2018-07-08,581 points,Floria Sigismondi,The Runaways,
628,nm0796124,2018-06-23,2018-06-23,575 points,Charles Shyer,Alfie,1941-10-11
629,nm0001410,2018-06-26,2018-06-26,573 points,Lawrence Kasdan,The Big Chill,1949-01-14
630,nm0844358,2018-06-12,2018-06-12,573 points,Jeannot Szwarc,Somewhere in Time,1939-11-21
631,nm1699934,2018-07-09,2018-07-09,572 points,Sean Durkin,Martha Marcy May Marlene,
632,nm1064048,2018-07-11,2018-07-11,572 points,Nikolaj Arcel,En kongelig affære,1972-08-25
633,nm0406334,2018-07-14,2018-07-14,572 points,Armando Iannucci,The Death of Stalin,1963-11-28
634,nm0667734,2018-07-12,2018-07-12,571 points,Pawel Pawlikowski,Zimna wojna,1957-09-15
635,nm0399853,2018-06-14,2018-06-14,567 points,Hugh Hudson,Chariots of Fire,1936-08-25
636,nm0001710,2018-07-09,2018-07-09,567 points,David Schwimmer,Friends,1966-11-02
637,nm0000320,2018-06-01,2018-06-01,564 points,Luis Buñuel,Belle de jour,1900-02-22
638,nm1461392,2018-07-10,2018-07-10,563 points,Joachim Rønning,Pirates of the Caribbean: Dead Men Tell No Tales,1972-05-30
639,nm1650283,2018-07-10,2018-07-10,563 points,Espen Sandberg,Kon-Tiki,1971-06-17
640,nm2171633,2018-07-12,2018-07-12,560 points,Baran bo Odar,Who Am I - Kein System ist sicher,1978-04-18
641,nm1841577,2018-07-13,2018-07-13,555 points,László Nemes,Saul fia,1977-02-18
642,nm0000389,2018-07-04,2018-07-04,554 points,Emilio Estevez,The Way,1962-05-12
643,nm0000788,2018-06-25,2018-06-25,548 points,Gillian Armstrong,Little Women,1950-12-18
644,nm0001282,2018-07-08,2018-07-08,547 points,Tony Goldwyn,Ghost,1960-05-20
645,nm0891554,2020-12-27,2020-12-27,546 points,Francis Veber,Le dîner de cons,1937-07-28
646,nm0610960,2021-04-11,2021-04-11,543 points,Kornél Mundruczó,Fehér isten,1975-04-03
647,nm0112218,2018-05-29,2018-05-29,537 points,Richard Brooks,In Cold Blood,1912-05-18
648,nm0836715,2021-09-03,2021-09-03,536 points,Philipp Stölzl,Nordwand,
649,nm0011752,2018-07-14,2018-07-14,533 points,Maren Ade,Toni Erdmann,1976-12-12
650,nm0000169,2019-05-31,2019-05-31,533 points,Tommy Lee Jones,The Fugitive,1946-09-15
651,nm0368871,2018-06-03,2018-06-03,532 points,Henry Hathaway,True Grit,1898-03-13
652,nm0911061,2018-06-26,2018-06-26,527 points,Wayne Wang,Smoke,1949-01-12
653,nm0302780,2018-07-13,2018-07-13,527 points,Florian Gallenberger,Quiero ser (I want to be...),
654,nm0654830,2018-07-02,2018-07-02,526 points,François Ozon,Dans la maison,1967-11-15
655,nm0920108,2018-07-02,2018-07-02,526 points,Audrey Wells,The Hate U Give,1960-01-25
656,nm0705535,2018-06-16,2018-06-16,523 points,Michael Radford,Il postino,1946-02-24
657,nm0000341,2018-06-07,2018-06-07,518 points,Michael Crichton,Jurassic Park,1942-10-23
658,nm0000641,2018-06-24,2018-06-24,516 points,Gary Sinise,Forrest Gump,1955-03-17
659,nm0005139,2018-06-27,2018-06-27,515 points,Mike Leigh,Secrets & Lies,1943-02-20
660,nm0780833,2018-05-23,2018-05-23,515 points,George Seaton,Miracle on 34th Street,1911-04-17
661,nm0458251,2020-03-11,2020-03-11,510 points,Cédric Klapisch,L'auberge espagnole,1961-09-04
662,nm0623768,2018-06-06,2018-06-06,508 points,Ronald Neame,Golden Salamander,1911-04-23
663,nm1177494,2019-08-01,2019-08-01,507 points,David Wnendt,Er ist wieder da,
664,nm0724938,2018-07-03,2018-07-03,506 points,Jean-François Richet,L'instinct de mort,1966-07-02
665,nm0281507,2018-06-07,2018-06-07,505 points,Richard Fleischer,Soylent Green,1916-12-08
666,nm0172772,2018-06-03,2018-06-03,504 points,Peter Collinson,The Italian Job,1936-04-01
667,nm0959774,2018-07-01,2018-07-01,504 points,Jonas Åkerlund,Lords of Chaos,1965-11-10
668,nm0527109,2018-07-07,2018-07-07,504 points,Rod Lurie,The Contender,1962-05-15
669,nm0248942,2018-07-07,2018-07-07,502 points,Uli Edel,Der Baader Meinhof Komplex,1947-04-11
670,nm0000425,2018-06-22,2018-06-22,500 points,Peter Greenaway,"The Cook, the Thief, His Wife & Her Lover",1942-04-05
